,Número de registro,Título,Autor,Data de produção,Dimensões,Material/Técnica,Classificação,Resumo descritivo,Condições de reprodução,Local de produção,ACERVO,URL,TAINACAN_COLECTION_ID
16,C.0404.0086,,,,a 85 x l 100 x p 4,Madeira,04 Construção > 04.4 Fragmento de Construção,Tramo de grade de balaustre,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
17,C.0801.0088,Atributo de São Luiz de Tolosa,,,c 80,Madeira,08 Insígnias,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
18,C.0801.0093,Atributo de Crucifixo (atributo de São Francisco),,,Cruz: a 64 x l 24 | Cristo: a 21 x l 15,Madeira,08 Insígnias,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
19,C.0904.0094,,,,a 21 x l 21,Mármore,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
20,C.0501.0097,,,,a 27 x c 360,Madeira,05 Interiores > 05.1 Acessório de Interiores,Cabide de parede com alças,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
21,C.0204.0101,Nossa Senhora da Piedade,,,"a 11 x l 8 x p 20,5",Terracota,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
22,C.0204.0102,Sant’Ana Mestra e Nossa Senhora Menina,,,"Cadeira: a 110 x l 45 x p 36 | Sant’anna: a 77 x l 56,5 x p 42 | Nossa Senhora: a 54 x l 19 x p 28 | Base: 59 x 48 x 49 x 47 x 25",Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
23,C.0204.0103,Sant’Ana Mestra e Nossa Senhora Menina,,,"a 30 x l 17 x p 10 | Base: a 3 x l 12,5 x p 9",Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
24,C.0204.0104,Santo de roca,,,"c 42,5 x l 13",Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Mão esquerda (com antebraço) de santo de roca,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
25,C.0204.0105,Santo de roca,,,c 42 x l 13,Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Mão direita (com antebraço) de santo de roca,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
