,Número de registro,Denominação,Título,Autor,Classificação,Dimensões - altura,Resumo descritivo,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
44,MCHA.0600,Boião,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"35,7",,"23,7",,,Cerâmica vitrificada,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
45,MCHA.0603,Jarra,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"25,8",,"24,7",,,Vidro,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
46,MCHA.0604,Jarra,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"39,5",,"15,3",,,Vidro pintado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
47,MCHA.0605,Fruteira,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"29,0",,"14,5",,,Vidro,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
48,MCHA.0607,Jarra,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"16,0",,"8,5",,,Vidro,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
49,MCHA.0608,Relógio de Mesa,,,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"22,1",,,"39,4",,Madeira | Metal | Vidro,Brasil,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
50,MCHA.0609,Relógio de mesa/parede,,,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"53,0",,"28,3","11,5",,Madeira | Metal | Papel | Vidro,"Thomaston, Connecticut, Estados Unidos da América",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
51,MCHA.0610,Relógio despertador,,,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"16,0",,"10,5",,,Metal | Papel | Vidro,"La Salle, Illinois, Estados Unidos da América",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
52,MCHA.0613,Almofariz,,,06 Trabalho > 06.8 Equipamento de Uso Geral,"28,1",,"16,5",,,Madeira,Brasil,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
53,MCHA.0614a,Aromatizador,,,05 Interiores > 05.1 Acessório de Interiores,"27,5",,"12,5",,,Metal,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
